route_or_pattern,applies_to_routes,position,visible_name,component,objective,audience,cta,visual_style,background,card_pattern,density,repetition_scope,adds_new_information,recommended_action,canonical_owner,seo_freeze_tag,notes
/despacho,1,6,Equipo completo,3 custom Card,Equipo canónico,todas,profiles/services,premium cards,muted,team-full,HIGH,home/penal/services,YES,estandarizar,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,7,Cómo trabajamos,ProcessStepper 5,Método completo,todas,none,stepper,default,process,MEDIUM,home/services,YES,mantener,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,8,Asignación/contratación,2 Card,Explicar relación y presupuesto,todas,none,info cards,muted,information,MEDIUM,FAQ/consult,YES,trasladar,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/despacho,1,9,Confianza y límites,TrustLimits,Expectativas,todas,none,dual block,default,trust/limits,MEDIUM,values/FAQ,PARTIAL,fusionar,/despacho,WAIT_UNTIL_2026-09-01,
/despacho,1,10,CTA final,ConsultationCTA,Conversión,alta intención,consulta+llamada,premium,muted,cta-card,MEDIUM,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/despacho,1,11,FAQ despacho,HubFaq,Dudas institucionales,evaluación,details,accordion,default,faq,MEDIUM,FAQ general,PARTIAL,reducir,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,1,PageHero,PageHero,Propuesta de catálogo,todas,CTAGroup,navy/photo,primary,none,MEDIUM,home,YES,mantener,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,2,Buscador,ServiceSearch,Encontrar servicio,orientación,route links,search,default,search result,LOW,home selector,YES,mantener,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,3,TrustBar,TrustBar,Confianza,todas,none,strip,surface,trust-item,MEDIUM,sitewide,PARTIAL,resumir,shared,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,4,Respuesta directa,AnswerBlock,Explicar alcance,todas,none,editorial,warm,none,LOW,catalog intro,YES,mantener,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,5,Catálogo,ServiceCard grid,Catálogo canónico,orientación,service links,grid,muted,service-card,HIGH,home/local,YES,mantener,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,6,Cobertura,RelatedCities,Territorio,local,local links,chips/list,default,link cluster,LOW,footer/local pages,PARTIAL,resumir,local hubs,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,7,Guías,BlogHighlights,Apoyo,research,blog,list,default,blog-list,MEDIUM,hubs,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,8,CTA final,ConsultationCTA,Conversión,alta intención,consulta+llamada,premium,muted,cta-card,MEDIUM,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/servicios-juridicos,1,9,FAQ servicios,HubFaq,Dudas de catálogo,todas,details,accordion,default,faq,MEDIUM,FAQ general/areas,PARTIAL,reducir,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,1,PageHero,PageHero,Propuesta transnacional,migrante,CTAGroup,navy/photo,primary,none,MEDIUM,other hubs,YES,mantener,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,2,TrustBar,TrustBar,Confianza,migrante,none,strip,surface,trust-item,MEDIUM,sitewide,PARTIAL,resumir,shared,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,3,Respuesta + trámites,AnswerBlock + prose,Explicar viabilidad y trámites,migrante,context links,editorial,warm,none,HIGH,subservice catalog,YES,resumir,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,4,Aviso jurisdiccional,SpainJurisdictionNotice,Delimitar alcance,migrante,none,notice,danger-like,alert,MEDIUM,scope cards,YES,rediseñar,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,5,Alcance por jurisdicción,3 Card,Comparar competencias,migrante,none,comparison,default,information,HIGH,notice,YES,fusionar,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,6,Subservicios,ServiceCard,Navegación,migrante,subservice links,grid,muted,service-card,MEDIUM,intro list,YES,mantener,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,7,FAQ,HubFaq,Dudas específicas,migrante,details,accordion,default,faq,MEDIUM,FAQ global/subpages,PARTIAL,reducir,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,8,Relacionados,RelatedServices,Conectar catálogo,migrante,service links,link cluster,muted,link cluster,LOW,footer,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,9,Guías,BlogHighlights,Apoyo,research,blog,list,default,blog-list,MEDIUM,subpages,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,10,Envío de documentos,2 Card,Prudencia documental,migrante,contact,comparison,default,information,MEDIUM,consult/form,YES,mantener,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana,1,11,CTA España,CtaSpain,Conversión,migrante,consulta,accent card,muted,cta-spain,MEDIUM,ConsultationCTA,NO,reutilizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,1,PageHero,PageHero,Enmarcar consulta,lead,none,navy,primary,none,LOW,sitewide claims,YES,resumir,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,2,Formulario + rail,Form + 3 grouped cards,Conversión principal,lead,submit/call/wa,2-column,default,form/info/urgency,VERY_HIGH,despacho/location/FAQ,YES,simplificar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,3,TrustBar,TrustBar,Confianza tras formulario,lead,none,strip,surface,trust-item,MEDIUM,hero/rail,NO,eliminar,shared,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,4,Visítenos,3 location cards,Alternativa presencial,local,map,cards,muted,location,MEDIUM,como-llegar/footer,PARTIAL,resumir,/como-llegar,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,5,FAQ consulta,HubFaq,Dudas precontacto,lead,details,accordion,default,faq,MEDIUM,global FAQ/rail,PARTIAL,reducir,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/solicitar-consulta,1,6,Footer,PublicFooter,Contacto global,todas,links,footer,primary,none,MEDIUM,page location,NO,mantener,shared,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,1,PageHero,PageHero,Preparar consulta,todas,CTAGroup,navy/photo,primary,none,MEDIUM,consult,YES,resumir,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,2,TrustBar,TrustBar,Confianza,todas,none,strip,surface,trust-item,MEDIUM,sitewide,NO,eliminar,shared,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,3,Índice,chips,Navegación interna,todas,anchors,chips,default,chip,LOW,single cluster,LOW,eliminar,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,4,FAQ corporativa,DB + details,Preguntas globales,todas,details,accordion,alternating,faq,MEDIUM,despacho/consult,YES,mantener,/preguntas-frecuentes,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,5,Preguntas por materia,6 link cards,Derivar a áreas,todas,service links,grid,muted,nav-card,MEDIUM,services/footer,YES,resumir,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/preguntas-frecuentes,1,6,Guías + CTA,BlogHighlights + ConsultationCTA,Apoyo y conversión,research,blog+consult,list+premium,default/muted,blog+cta,HIGH,sitewide,PARTIAL,resumir,contextual,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,1,PageHero,PageHero,Propuesta penal,urgente,CTAGroup,navy/photo,primary,none,MEDIUM,other hubs,YES,mantener,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,2,Buscador,ServiceSearch,Encontrar subservicio,penal,links,search,default,search,LOW,group cards,YES,mantener,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,3,TrustBar,TrustBar,Confianza,penal,none,strip,surface,trust-item,MEDIUM,sitewide,PARTIAL,resumir,shared,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,4,Respuesta directa,AnswerBlock,Qué hace el despacho,penal,guide link,editorial,warm,none,HIGH,hero/FAQ,YES,resumir,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,5,Abogado penalista,custom profile block,Responsable/E-E-A-T,penal,WhatsApp+profile,photo profile,default,profile-context,MEDIUM,despacho/profile/service,YES,reutilizar,/despacho,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,6,Situaciones,SituacionesHabituales,Cuándo acudir,penal,none,list/cards,varied,feature,MEDIUM,urgency/groups,YES,fusionar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,7,Documentos,DocumentChecklist,Preparación,penal,none,checklist,varied,information,MEDIUM,FAQ/consult,YES,mantener,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,8,Proceso defensa,ProcessList,Método penal,penal,none,list,varied,process,HIGH,stages/process global,PARTIAL,fusionar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,9,Instituciones,InstitutionsBlock,Contexto procesal,penal,none,cards/list,varied,information,MEDIUM,local institutions,YES,estandarizar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,10,Factores,FactorsThatVary,Variabilidad,penal,none,cards/list,varied,information,MEDIUM,FAQ,YES,mantener,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,11,Errores,CommonMistakes,Prevención,penal,none,cards/list,varied,feature,MEDIUM,urgent FAQ,PARTIAL,fusionar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,12,Grupos,ServiceCard,Subservicios,penal,links,grid,muted,service-card,HIGH,situations,YES,mantener,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,13,Etapas/riesgos,table + mobile Card,Ruta procesal,penal,none,responsive table/cards,default,process/table,VERY_HIGH,ProcessList,PARTIAL,fusionar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,14,Urgencias,UrgencyCallout + 5 Card,Acción inmediata,urgente,call/wa,danger/cards,default,urgency,HIGH,errors/FAQ,YES,reducir,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,15,FAQ penal,HubFaq,Dudas específicas,penal,details,accordion,default,faq,MEDIUM,urgent cards/global FAQ,PARTIAL,reducir,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,16,Artículos,custom blog cards,Apoyo,research,blog,grid,default,blog-card-custom,HIGH,BlogHighlights,YES,reutilizar,contextual,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,17,Cobertura penal,chips,Localización,local,links,chips,muted,chip,MEDIUM,local pages/footer,PARTIAL,resumir,local pages,WAIT_UNTIL_2026-09-01,
/derecho-penal,1,18,Fuentes/CTA,SourcesAndDisclaimer + ContextualCta + ConsultationCTA,Prudencia y conversión,penal,consult,mixed,varied,cta/info,HIGH,multiple CTA,PARTIAL,fusionar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/como-llegar,1,1,PageHero,PageHero,Ubicación,local,map/contact,navy,primary,none,LOW,consult/local,YES,mantener,/como-llegar,WAIT_UNTIL_2026-09-01,
/como-llegar,1,2,Dirección y referencias,CopyableAddress + cards,Llegar,local,copy/maps,information,default,location,MEDIUM,footer/consult,YES,mantener,/como-llegar,WAIT_UNTIL_2026-09-01,
/como-llegar,1,3,Mapa,MapEmbedLazy,Orientación,local,map,map,default,map,LOW,none,YES,mantener,/como-llegar,WAIT_UNTIL_2026-09-01,
/como-llegar,1,4,Horario/contacto,contact cards,Preparar visita,local,call/wa,cards,muted,contact,MEDIUM,consult/footer,PARTIAL,resumir,/como-llegar,WAIT_UNTIL_2026-09-01,
/como-llegar,1,5,CTA,ConsultationCTA,Concertar cita,lead,consult,premium,muted,cta-card,LOW,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,1,Profile hero,custom split profile,Identidad profesional,evaluación,credentials,photo split,default,profile-header,MEDIUM,despacho cards,YES,estandarizar,/equipo/[slug],WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,2,Áreas,list,Especialidades,evaluación,none,list,default,none,LOW,despacho/service,YES,mantener,/equipo/[slug],WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,3,Sobre despacho,info card,Contexto,evaluación,team+consult,card,surface-alt,information,MEDIUM,despacho,PARTIAL,resumir,/despacho,WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,4,Artículos/atribución,DB list,Autoridad editorial,research,blog,list,default,none,MEDIUM,blog,YES,mantener,profile,WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,5,LegalDisclaimer,LegalDisclaimer,Prudencia,todas,none,notice,default,notice,LOW,sitewide,NO,mantener,shared,WAIT_UNTIL_2026-09-01,
/equipo/[slug],3,6,CTA,ConsultationCTA,Conversión,lead,consult,premium,muted,cta-card,LOW,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,1,Hero,custom service hero,Propuesta del área,service,CTAGroup,navy,primary,none,MEDIUM,PageHero/local,YES,reutilizar,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,2,Respuesta,RespuestaDirecta,Respuesta AEO,service,none,editorial,warm,none,LOW,AnswerBlock,YES,reutilizar,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,3,Situaciones,SituacionesHabituales,Casos típicos,service,none,feature,varied,feature,MEDIUM,subservices/FAQ,YES,fusionar,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,4,Audiencias,SeparacionAudiencias,Diferenciar fases,service,none,comparison,varied,information,MEDIUM,process,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,5,Documentos,DocumentChecklist,Preparación,service,none,checklist,varied,information,MEDIUM,FAQ/consult,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,6,Proceso,ProcessList,Método específico,service,none,list,varied,process,MEDIUM,global process,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,7,Instituciones,InstitutionsBlock,Autoridades,service,none,cards/list,varied,information,MEDIUM,local institutions,YES,estandarizar,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,8,Factores,FactorsThatVary,Variabilidad,service,none,cards/list,varied,information,MEDIUM,FAQ,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,9,Errores,CommonMistakes,Prevención,service,none,cards/list,varied,feature,MEDIUM,FAQ,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,10,Abogado responsable,custom lawyer block,E-E-A-T,service,WhatsApp/profile,photo card,default,profile-context,MEDIUM,despacho/profile,YES,reutilizar,/despacho,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,11,FAQ,HubFaq,Dudas específicas,service,details,accordion,default,faq,MEDIUM,FAQ general,YES,mantener,service,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,12,Relacionados,cards/links,Navegación,service,links,grid,muted,service-card,MEDIUM,hub/footer,YES,resumir,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,13,Guías,custom blog cards,Apoyo,research,blog,grid,default,blog-card-custom,MEDIUM,BlogHighlights,YES,reutilizar,contextual,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,14,Lead magnet,LeadMagnetCTA,Captura,research,email,form card,varied,lead,MEDIUM,consult,YES,investigar,contextual,WAIT_UNTIL_2026-09-01,
/servicios-juridicos/[slug],13,15,Fuentes/CTA,SourcesAndDisclaimer + ContextualCta + ConsultationCTA,Prudencia/conversión,lead,consult,mixed,varied,cta/info,HIGH,multiple CTA,PARTIAL,fusionar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,1,Hero,service detail hero,Propuesta,penal,CTAGroup,navy,primary,none,MEDIUM,other service hero,YES,reutilizar,/derecho-penal,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,2,Respuesta,Answer/Respuesta,Orientar,penal,none,editorial,warm,none,LOW,hub,YES,resumir,subservice,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,3,Contenido específico,conditional detail blocks,Explicar servicio,penal,none,mixed,varied,feature/info/process,HIGH,hub penal,YES,resumir,subservice,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,4,FAQ,HubFaq,Dudas específicas,penal,details,accordion,default,faq,MEDIUM,hub/global,YES,mantener,subservice,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,5,ContactStrip,ContactStrip,Contacto,lead,4 actions,cards,default,contact,HIGH,CTA final/footer,NO,resumir,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,6,Guías,BlogHighlights/custom,Apoyo,research,blog,list/grid,default,blog,MEDIUM,hub,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/derecho-penal/[slug],7,7,CTA final,ConsultationCTA,Conversión,lead,consult,premium,muted,cta-card,MEDIUM,ContactStrip,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,1,Hero,PageHero/service hero,Propuesta,migrante,CTAGroup,navy,primary,none,MEDIUM,hub,YES,mantener,subservice,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,2,TrustBar,TrustBar,Confianza,migrante,none,strip,surface,trust-item,MEDIUM,hub/sitewide,NO,eliminar,shared,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,3,Aviso jurisdicción,SpainJurisdictionNotice,Alcance,migrante,none,notice,danger-like,alert,MEDIUM,hub,YES,estandarizar,/hondurenos-en-espana,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,4,Lista de servicios,conditional blocks,Cobertura,migrante,none,long list,default,feature/info,VERY_HIGH,hub catalog,YES,resumir,subservice,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,5,FAQ,HubFaq,Dudas,migrante,details,accordion,default,faq,MEDIUM,hub/global,YES,mantener,subservice,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,6,Relacionados,RelatedServices,Navegación,migrante,links,link cluster,muted,link,LOW,hub/footer,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,7,ContactStrip,ContactStrip,Contacto,lead,4 actions,cards,default,contact,HIGH,CTA final,NO,resumir,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,8,Guías,BlogHighlights,Apoyo,research,blog,list,default,blog,MEDIUM,hub,YES,mantener,contextual,WAIT_UNTIL_2026-09-01,
/hondurenos-en-espana/[slug],3,9,CTA final,CtaSpain/ConsultationCTA,Conversión,lead,consult,accent/premium,muted,cta,MEDIUM,ContactStrip,NO,reutilizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,1,Hero local,inline local hero,Local intent/NAP,local,CTAGroup,navy,primary,none,MEDIUM,PageHero,YES,reutilizar,local,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,2,Intro/contexto,inline section,Diferenciación local,local,guide link,editorial,default,none,MEDIUM,other locals,YES,mantener,local,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,3,Servicios,linked custom cards,Áreas locales,local,service links,grid,muted,local-service,HIGH,hub services,PARTIAL,resumir,/servicios-juridicos,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,4,FAQ local,HubFaq,Dudas territoriales,local,details,accordion,default,faq,MEDIUM,other locals/global,YES,mantener,local,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,5,Artículo destacado,custom blog card,Contexto,research,blog,grid,default,blog-card-custom,LOW,blog blocks,YES,reutilizar,contextual,WAIT_UNTIL_2026-09-01,
/abogados-en-*,16,6,CTA local,ConsultationCTA inline custom copy,Conversión,lead,consult,premium,muted,cta-card,MEDIUM,all locals/sitewide,NO,corregir,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,1,Hero,special local hero,Intención área+ciudad,local service,CTAGroup,navy,primary,none,MEDIUM,service/local,YES,estandarizar,local-special,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,2,Respuesta local,editorial,Diferenciación,local service,none,editorial,warm,none,MEDIUM,local generic/service,YES,resumir,local-special,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,3,Servicios/casos,cards/list,Cobertura,local service,links,grid,muted,feature,HIGH,service hub,PARTIAL,resumir,service,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,4,Proceso/documentos,detail blocks,Preparación,local service,none,mixed,default,process/info,MEDIUM,service detail,YES,reutilizar,service,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,5,FAQ,HubFaq,Dudas localizadas,local service,details,accordion,default,faq,MEDIUM,local/service/global,YES,reducir,local-special,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,6,Cobertura,links/chips,Territorio,local,local links,chips,muted,link,MEDIUM,footer/local,PARTIAL,resumir,local,WAIT_UNTIL_2026-09-01,
/abogado-*-*,5,7,CTA,ConsultationCTA/Urgency,Conversión,lead,consult,premium,muted,cta,MEDIUM,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
/legal/*,6,1,Header/Breadcrumbs,PublicHeader + Breadcrumbs,Navegación,todas,links,shared chrome,default,none,LOW,sitewide,NO,mantener,shared,WAIT_UNTIL_2026-09-01,
/legal/*,6,2,Legal document,LegalDocument,Texto jurídico,legal,none,document,default,document,MEDIUM,none,YES,mantener,legal,WAIT_UNTIL_2026-09-01,
/legal/*,6,3,Footer,PublicFooter,Contacto/legal,todas,links,footer,primary,none,MEDIUM,sitewide,NO,mantener,shared,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,1,Hero,PageHero,Orientar contratación,research,CTAGroup,navy,primary,none,MEDIUM,FAQ/consult,YES,mantener,guide,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,2,Respuesta,AnswerBlock,Qué revisar,research,none,editorial,warm,none,LOW,FAQ,YES,mantener,guide,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,3,Criterios,cards/checklist,Evaluación,research,none,grid,default,feature,MEDIUM,despacho/FAQ,YES,resumir,guide,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,4,Proceso,ProcessStepper/list,Contratación,research,none,process,muted,process,MEDIUM,despacho,YES,resumir,guide,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,5,FAQ,HubFaq,Dudas,research,details,accordion,default,faq,MEDIUM,global FAQ,YES,reducir,guide,WAIT_UNTIL_2026-09-01,
/guia-legal-abogados-honduras,1,6,CTA,ConsultationCTA,Conversión,lead,consult,premium,muted,cta,LOW,sitewide,NO,estandarizar,/solicitar-consulta,WAIT_UNTIL_2026-09-01,
