route,route_type,template_or_component,primary_source,dynamic_source,strategic_priority,audit_depth,seo_freeze_tag,blog_shared_component_risk,status,notes
/abogados-en-concepcion-de-maria,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-el-triunfo,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-goascoran,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-langue,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-marcovia,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-nacaome,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-namasigue,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-orocuina,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-pespire,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-san-antonio-de-flores,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-san-lorenzo,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/abogados-en-san-marcos-de-colon,local,components/marketing/landing-local.tsx,data/landings-locales.ts,STATIC_GENERATED,P1,SHARED_TEMPLATE_PLUS_ALL_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,16 rutas heredan el mismo CTA con claims no canónicos y hero propio.
/aviso-legal,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
/como-llegar,informational-auxiliary,app/(public)/como-llegar/page.tsx,lib/site.ts,STATIC,P1,FULL_CODE_AND_PUBLISHED,SAFE_BEFORE_MEASUREMENT,LOW,AUDITED,"Debe ser propietaria de dirección completa, mapa y referencias."
/derecho-penal,hub-specialty,app/(public)/derecho-penal/page.tsx,hubPenal + page_content DB + blog DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Mayor densidad y mayor número de sistemas de enumeración.
/derecho-penal/atencion-casos-penales-litigiosos,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/ejecucion-penal-y-beneficios,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/estrategia-penal-y-litigio,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/mediacion-conflictos-penales-y-multas,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/menores-justicia-juvenil,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/proceso-penal-completo,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/derecho-penal/recursos-y-defensa-avanzada,subservice-penal,app/(public)/derecho-penal/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Auditoría editorial del blog excluida.
/despacho,strategic-main,app/(public)/despacho/page.tsx,page.tsx + page_content DB + lib/site.ts,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,LOW,AUDITED,"Propietaria canónica de historia, equipo, metodología y credenciales."
/disclaimer,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
/equipo/danilo-pineda-maradiaga,team-profile,app/(public)/equipo/[slug]/page.tsx,lib/site.ts + atribuciones DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P1,TEMPLATE_AND_ALL_DATA_KEYS,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,La sección de artículos usa componentes/datos del blog; no modificar globalmente.
/equipo/emil-barahona,team-profile,app/(public)/equipo/[slug]/page.tsx,lib/site.ts + atribuciones DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P1,TEMPLATE_AND_ALL_DATA_KEYS,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,La sección de artículos usa componentes/datos del blog; no modificar globalmente.
/equipo/thania-marlene-paz,team-profile,app/(public)/equipo/[slug]/page.tsx,lib/site.ts + atribuciones DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P1,TEMPLATE_AND_ALL_DATA_KEYS,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,La sección de artículos usa componentes/datos del blog; no modificar globalmente.
/guia-legal-abogados-honduras,informational-guide,app/(public)/guia-legal-abogados-honduras/page.tsx,código estático,STATIC,P1,CODE_AND_ROUTE_PURPOSE,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,No es blog; funciona como guía comercial preconsulta.
/hondurenos-en-espana,hub-transnational,app/(public)/hondurenos-en-espana/page.tsx,hubMigrantes + page_content DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,"Identidad propia válida, pero acumula demasiados bloques informativos y dos sistemas CTA."
/hondurenos-en-espana/actos-notariales-internacionales,subservice-transnational,app/(public)/hondurenos-en-espana/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Controlar aviso jurisdiccional y listas extensas.
/hondurenos-en-espana/asuntos-civiles-y-familiares-desde-el-extranjero,subservice-transnational,app/(public)/hondurenos-en-espana/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Controlar aviso jurisdiccional y listas extensas.
/hondurenos-en-espana/gestion-documental-y-legalizacion,subservice-transnational,app/(public)/hondurenos-en-espana/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Controlar aviso jurisdiccional y listas extensas.
/politica-cookies,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
/politica-editorial,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
/politica-privacidad,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
/preguntas-frecuentes,informational-auxiliary,app/(public)/preguntas-frecuentes/page.tsx,FAQ DB vía lib/faq-db.ts,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P1,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Código actual reducido a FAQ corporativa; web cacheada muestra versión antigua larga.
/servicios-juridicos,hub,app/(public)/servicios-juridicos/page.tsx,PUBLIC_SERVICE_CATALOG + page_content DB,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,MEDIUM,AUDITED,Web rastreada conserva una versión anterior más densa; verificar despliegue/caché.
/servicios-juridicos/ambiental-regulatorio,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/conciliacion-y-arbitraje,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-administrativo-y-servicio-civil,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-aduanero-y-comercio-exterior,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-bancario-y-financiero,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-civil-y-notarial,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-de-familia,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-laboral,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/derecho-mercantil-empresarial,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/extranjeria-en-honduras,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/propiedad-intelectual,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/regulacion-sanitaria,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/servicios-juridicos/tributario-fiscal,service,app/(public)/servicios-juridicos/[slug]/page.tsx,data/areas-juridicas.ts + blog DB,STATIC_PLUS_DYNAMIC_BLOG_BLOCK,P1,TEMPLATE_PLUS_ALL_ROUTE_DATA,WAIT_UNTIL_2026-09-01,HIGH,AUDITED,Bloques condicionales; BlogHighlights/guías son el único elemento blog inspeccionado.
/solicitar-consulta,conversion,app/(public)/solicitar-consulta/page.tsx,page_content DB + formulario,DYNAMIC_SOURCE_REQUIRES_CONFIRMATION,P0,FULL_CODE_AND_PUBLISHED,WAIT_UNTIL_2026-09-01,LOW,AUDITED,Formulario prioritario; rail reducido a 3 grupos pero todavía muy denso.
/terminos,legal,components/marketing/legal-document.tsx,texto jurídico/código,STATIC,P2,HEADER_FOOTER_AND_VISUAL_ONLY,REQUIRES_LEGAL_REVIEW,LOW,AUDITED,No se propone reescritura jurídica; solo consistencia de chrome.
