object_type,key,observed_status,classification,reason,required_by_head,data_loss_risk,production_required,remaining_action
columns,public.blog_posts.ai_review_status,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_unresolved_claims,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_review_version,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_reviewed_at,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.blog_posts.ai_search_queries_count,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.actualizado_en,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.agravacion_por_articulo_remitido,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.articulos_remitidos_para_pena,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.condicion_para_aplicar_pena_remitida,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.constitucion_articulo_id,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.creado_en,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.es_grave,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.formula_calculo_remision,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.observaciones,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.observaciones_remision_normativa,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_alternativa_max,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_alternativa_min,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_base_resuelta_desde_articulo,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_maxima_meses,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_minima_meses,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_por_remision_normativa,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_resuelta_max_meses,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.pena_resuelta_min_meses,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.penas_accesorias,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.rama_id,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.requiere_datos_economicos,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.tiene_pena_alternativa,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.delitos.variables_necesarias_para_calculo,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.extracciones_ia.input_hash,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.extracciones_ia.run_status,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.extracciones_ia.suggested_status,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
columns,public.extracciones_ia.total_confidence,SAME_NAME_DIFFERENT_DEFINITION,TRACKING_ONLY,"La única diferencia es la posición ordinal; tipo, nullability, default, identidad, generación y collation son idénticos.",false,false,false,Excluir position del comparador contractual y conservarlo solo como metadato informativo.
constraints,public.case_readiness_checks.case_readiness_checks_run_check_unique,CLONE_ONLY,TRACKING_ONLY,La constraint UNIQUE del clon está representada en la canónica por un índice UNIQUE idéntico y HEAD declara el mismo contrato de unicidad.,false,false,false,Normalizar constraint UNIQUE e índice UNIQUE equivalente en la comparación contractual; no eliminar protección del clon.
constraints,public.document_text_pages.document_text_pages_documento_pagina_unique,CLONE_ONLY,TRACKING_ONLY,La constraint UNIQUE del clon está representada en la canónica por un índice UNIQUE idéntico y HEAD declara el mismo contrato de unicidad.,false,false,false,Normalizar constraint UNIQUE e índice UNIQUE equivalente en la comparación contractual; no eliminar protección del clon.
constraints,public.enlaces_magicos.enlaces_magicos_token_hash_unique,CLONE_ONLY,TRACKING_ONLY,La constraint UNIQUE del clon está representada en la canónica por un índice UNIQUE idéntico y HEAD declara el mismo contrato de unicidad.,false,false,false,Normalizar constraint UNIQUE e índice UNIQUE equivalente en la comparación contractual; no eliminar protección del clon.
enums,public.auditoria_accion,SAME_NAME_DIFFERENT_DEFINITION,CLONE_LEGACY_SAFE,El clon contiene tres valores append-only adicionales no referenciados por HEAD; PostgreSQL no permite retirarlos de forma segura y no debilitan el contrato.,false,false,false,Documentar los valores legacy y comparar enums mediante inclusión del conjunto requerido por HEAD.
routines,public.armor.bytea.function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.armor.bytea, text[], text[].function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.crypt.text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,public.dearmor.text.function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.decrypt.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.decrypt_iv.bytea, bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.digest.bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.digest.text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.encrypt.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.encrypt_iv.bytea, bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,public.gen_random_bytes.integer.function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,public.gen_random_uuid..function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,public.gen_salt.text.function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.gen_salt.text, integer.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.hmac.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.hmac.text, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_armor_headers.text, OUT key text, OUT value text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,public.pgp_key_id.bytea.function,CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt.bytea, bytea.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt.bytea, bytea, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt_bytea.bytea, bytea.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt_bytea.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_decrypt_bytea.bytea, bytea, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_encrypt.text, bytea.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_encrypt.text, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_encrypt_bytea.bytea, bytea.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_pub_encrypt_bytea.bytea, bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_decrypt.bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_decrypt.bytea, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_decrypt_bytea.bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_decrypt_bytea.bytea, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_encrypt.text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_encrypt.text, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_encrypt_bytea.bytea, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
routines,"public.pgp_sym_encrypt_bytea.bytea, text, text.function",CANONICAL_ONLY,REQUIRED_BY_HEAD,Rutina provista por pgcrypto; la migración 0025 exige CREATE EXTENSION pgcrypto y la base canónica la contiene.,true,false,true,Crear reconciliación idempotente que garantice pgcrypto en el clon y probar en base aislada.
