id,type,item,historical_state,historical_risk,current_status,decision,current_evidence,implementation_commit,remaining_action
DEP-0049,source,lib/sgie/document-intelligence-jobs.ts,unreachable-candidate,Medio,DONE_VERIFIED,KEEP_TEST_CONTRACT,Existe como contrato de arquitectura cubierto explícitamente por tests; permanece en baseline Knip.,,
DEP-0050,source,lib/sgie/extraccion-estructurada.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0051,source,lib/sgie/ia-router.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0052,source,lib/sgie/inbound-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0053,source,lib/sgie/motor-contradicciones.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0054,source,lib/sgie/observabilidad.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0055,source,lib/sgie/resumen-incremental.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0056,source,lib/sgie/review-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0057,source,lib/sgie/risk-workload-jobs.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0058,source,lib/sgie/search-indexer.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0059,source,lib/sgie/work-queue-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0060,source,lib/sgie/workflow-simulation-service.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0061,source,lib/sgie/workflow.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0062,source,lib/storage.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0063,source,lib/test-db-guard.ts,test-only-candidate,Alto,DONE_VERIFIED,KEEP_ACTIVE_GRAPH,Existe y no figura como archivo no usado en Knip actual.,,
DEP-0064,source,lib/types/admin-dashboard.ts,unreachable-candidate,Medio,DONE_VERIFIED,REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",3274e388,
DEP-0065,script,scripts/update-pension-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0066,script,scripts/update-prestaciones-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0067,script,scripts/extract-prestaciones.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0068,script,scripts/check-info-items.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0069,script,scripts/update-changelog.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0070,script,scripts/fase7b-aplicar-correcciones-juridicas.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0071,script,scripts/fase7-consolidar-lote-a-corregido.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0072,script,scripts/fase5a-paquetes-revision-humana.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0073,script,scripts/analyze-topics.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0074,script,scripts/fase7b-resolver-huerfanos.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0075,script,scripts/fase7-aplicar-correcciones.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0076,script,scripts/fase6-prepare-lote.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0077,script,scripts/generar-inventario-completo.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0078,script,scripts/test-auto-linker.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0079,script,scripts/fase7c-crawl-134.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0080,script,scripts/fase6d-restore-wrong.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0081,script,scripts/restore-target-posts.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0082,script,scripts/fase7b-corregir-titles.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0083,script,scripts/fase7b-inventario-definitivo.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0084,script,scripts/update-allanamiento-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0085,script,scripts/update-prescripcion-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0086,script,scripts/seo-update-ctas-tracking.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0087,script,scripts/inspect-urls.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0088,script,scripts/check-delitos-articulos.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0089,script,scripts/fase6c-inventory.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0090,script,scripts/fase7c-revalidacion-global.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0091,script,scripts/fase3-migrate.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0092,script,scripts/dump-target-posts.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0093,script,scripts/edit-prescripcion.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0094,script,scripts/seo-collect-authenticated.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0095,script,scripts/edit-domesticas.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0096,script,scripts/fase3c-art71-bodies.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0097,script,scripts/debug-body-text.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0098,script,scripts/list-tables.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0099,script,scripts/debug-auto-linker.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0100,script,scripts/edit-allanamiento.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0101,script,scripts/fase5a-aplicar-correcciones.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0102,script,scripts/fase6-lote-aplicar-correcciones.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0103,script,scripts/fase6-lote-setup.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0104,script,scripts/fase6-calculate-inventory.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0105,script,scripts/gen-favicon.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0106,script,scripts/fase6-lote-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0107,script,scripts/fase6-extract-bodies.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0108,script,scripts/fase7c-corregir-servicios-legales.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0109,script,scripts/fase7-extraer-inventario.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0110,script,scripts/fase6-inventario.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0111,script,scripts/edit-pension-surgical.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0112,script,scripts/optimizar-ctr-articulos-prioritarios.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0113,script,scripts/generate-indexability.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0114,script,scripts/corregir-p0-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0115,script,scripts/seo-upgrade-meta-fase2.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0116,script,scripts/fase6-snapshot-neon.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0117,script,scripts/debug-linker-final.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0118,script,scripts/fase7-generar-artefactos-rapidos.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0119,script,scripts/fase6d-auth-inv.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0120,script,scripts/fase6-lote-seo.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0121,script,scripts/debug-auto-linker-2.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0122,script,scripts/fase5a-aplicar-enlazado-interno.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0123,script,scripts/test-service-account.mjs,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0124,script,scripts/phase1-optimize-posts.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",562e9123,
DEP-0125,script,scripts/fase6-apply-lote-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0126,script,scripts/extract-domesticas.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0127,script,scripts/fase6-planificacion.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0128,script,scripts/fase6d-prepare-lote.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0129,script,scripts/edit-prestaciones.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0130,script,scripts/fase6-db-rollback-selectivo.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0131,script,scripts/analyze-topics-noaccents.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0132,script,scripts/fase6-lote-backup.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0133,script,scripts/extract-prescripcion.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0134,script,scripts/extract-allanamiento.js,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0135,script,scripts/fase7-diagnostico-db.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
DEP-0136,script,scripts/fase7-consolidar-lote.ts,unreferenced-candidate,Medio,DONE_VERIFIED,ARCHIVE_OR_REMOVE_VERIFIED,"Ausente en HEAD; build, tests y Knip actuales pasan.",1d17990b,
