"question","current_url","category","target_url","duplicate_of","legal_risk","review_status","action"
"¿Cuánto tarda un divorcio en Honduras?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo se calcula la pensión de alimentos?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puedo pedir la custodia compartida?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué pasa si el padre no paga la pensión de alimentos?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es la unión de hecho y cómo se reconoce?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo se tramita una adopción en Honduras?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué derechos tengo como heredero?","/preguntas-frecuentes","derecho-de-familia","/servicios-juridicos/derecho-de-familia","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto me corresponde si me despiden sin justa causa?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuándo se paga el aguinaldo en Honduras?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué hago si sufro un accidente laboral?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Tengo derecho a vacaciones pagadas?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es el despido indirecto?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Las horas extras se pagan?","/preguntas-frecuentes","derecho-laboral","/servicios-juridicos/derecho-laboral","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo saber si un vendedor de inmueble tiene derecho a vender?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Se puede desahuciar al inquilino que no paga?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué diferencia hay entre prescripción y usucapión?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo se cobra una deuda judicialmente?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es la protocolización de un documento?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Necesito un abogado para comprar una casa?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué hago si alguien invade mi propiedad?","/preguntas-frecuentes","derecho-civil","/servicios-juridicos/derecho-civil-y-notarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué tipo de sociedad me conviene en Honduras?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto tarda constituir una sociedad?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Es obligatorio registrar una marca?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto dura el registro de una marca?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es la propiedad industrial?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puedo demandar por competencia desleal?","/preguntas-frecuentes","derecho-mercantil","/servicios-juridicos/derecho-mercantil-empresarial","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto tarda la residencia temporal en Honduras?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puedo naturalizarme sin renunciar a mi nacionalidad?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué visas existen para invertir en Honduras?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo obtengo la residencia por matrimonio?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué hago si mi solicitud migratoria es denegada?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Los menores hondureños necesitan permiso para viajar al exterior?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es la apostilla y para qué sirve?","/preguntas-frecuentes","extranjeria-migracion","/servicios-juridicos/extranjeria-en-honduras","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué pasa si el SAR me fiscaliza?","/preguntas-frecuentes","tributario-sar","/servicios-juridicos/tributario-fiscal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo planifico fiscalmente mi empresa?","/preguntas-frecuentes","tributario-sar","/servicios-juridicos/tributario-fiscal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuáles son los principales impuestos en Honduras?","/preguntas-frecuentes","tributario-sar","/servicios-juridicos/tributario-fiscal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuándo debo presentar la declaración de renta?","/preguntas-frecuentes","tributario-sar","/servicios-juridicos/tributario-fiscal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es el régimen simplificado del ISV?","/preguntas-frecuentes","tributario-sar","/servicios-juridicos/tributario-fiscal","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿En qué zonas de Honduras trabajan?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Cómo funciona la evaluación inicial?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Cómo se cobran los honorarios?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Cómo se entrega el presupuesto?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Qué ocurre después del primer contacto?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Atienden urgencias penales?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿La información que comparto es confidencial?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Qué debo llevar a mi primera consulta?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Puedo contratarlos desde el extranjero?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Qué métodos de pago aceptan?","/preguntas-frecuentes","bufete-honorarios","/preguntas-frecuentes","","LOW","corporate_reviewed","KEEP_GENERAL"
"¿Necesito licencia ambiental para mi negocio?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo impugno una multa del SAR?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto tarda el registro sanitario de un medicamento?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Qué es el arbitraje y cómo funciona?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cuánto tarda una importación en Honduras?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Puedo demandar al Estado por daños?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
"¿Cómo protejo mis datos personales?","/preguntas-frecuentes","otras-areas","/servicios-juridicos","","YMYL_REVIEW_REQUIRED","lawyer_review_pending","MOVE_TO_AREA_WITHOUT_DELETION"
