"slug","category","current_title","current_meta_title","current_description","current_meta_description","title_issue","description_issue","duplicate_group","search_intent","proposed_title","proposed_meta_title","proposed_description","proposed_meta_description","body_supports_change","legal_risk","action","status"
"allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","Allanamiento en Honduras: Derechos y Qué Hacer","Allanamiento en Honduras: Derechos y Qué Hacer","Cuándo puede realizarse un allanamiento en Honduras, qué debe contener la orden judicial y cómo actuar sin obstaculizar a la autoridad.","Cuándo puede realizarse un allanamiento en Honduras, qué debe contener la orden judicial y cómo actuar sin obstaculizar a la autoridad.","","","","sin conflicto demostrado","Allanamiento en Honduras: Derechos y Qué Hacer","Allanamiento en Honduras: Derechos y Qué Hacer","Cuándo puede realizarse un allanamiento en Honduras, qué debe contener la orden judicial y cómo actuar sin obstaculizar a la autoridad.","Cuándo puede realizarse un allanamiento en Honduras, qué debe contener la orden judicial y cómo actuar sin obstaculizar a la autoridad.","true","LOW","KEEP","KEEP"
"antejuicio-en-honduras","derecho-penal","Antejuicio en Honduras: qué es","Antejuicio en Honduras: Proceso","El antejuicio en Honduras explicado con claridad: qué funcionarios están protegidos, cómo se tramita, qué pasa si se declara con lugar y qué implica para el","Entienda el antejuicio en Honduras: a quién aplica, cómo funciona el proceso y su marco legal. Protege la función pública, no la impunidad.","","","","sin conflicto demostrado","Antejuicio en Honduras: qué es","Antejuicio en Honduras: Proceso","El antejuicio en Honduras explicado con claridad: qué funcionarios están protegidos, cómo se tramita, qué pasa si se declara con lugar y qué implica para el","Entienda el antejuicio en Honduras: a quién aplica, cómo funciona el proceso y su marco legal. Protege la función pública, no la impunidad.","true","LOW","KEEP","KEEP"
"arbitraje-honduras-guia-completa","conciliacion-arbitraje","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","Arbitraje institucional vs ad hoc, cláusula arbitral, costos reales, ejecución del laudo y cuándo NO conviene arbitrar. Guía práctica para empresas y","Descubra cuándo el arbitraje comercial en Honduras es la mejor opción. Conozca la Ley, los centros de arbitraje como la CCIT, ventajas, costos y la","","","","sin conflicto demostrado","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","Arbitraje en Honduras: ¿Cuándo Conviene? Todo lo","Arbitraje institucional vs ad hoc, cláusula arbitral, costos reales, ejecución del laudo y cuándo NO conviene arbitrar. Guía práctica para empresas y","Descubra cuándo el arbitraje comercial en Honduras es la mejor opción. Conozca la Ley, los centros de arbitraje como la CCIT, ventajas, costos y la","true","LOW","KEEP","KEEP"
"arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","Arraigo social y laboral en España para","Arraigo Social y Laboral en España para","Cómo regularizar su situación en España mediante arraigo social, laboral o familiar: requisitos de permanencia, contrato, informe de integración y","Guía completa sobre requisitos y documentación para el arraigo social, laboral y familiar en España para ciudadanos hondureños. Consulte a expertos.","","","","sin conflicto demostrado","Arraigo social y laboral en España para","Arraigo Social y Laboral en España para","Cómo regularizar su situación en España mediante arraigo social, laboral o familiar: requisitos de permanencia, contrato, informe de integración y","Guía completa sobre requisitos y documentación para el arraigo social, laboral y familiar en España para ciudadanos hondureños. Consulte a expertos.","true","LOW","KEEP","KEEP"
"asuntos-familiares-honduras-espana","hondurenos-en-espana","Resuelve asuntos familiares en Honduras desde","Asuntos Familiares Honduras desde España","Divorcio, custodia, alimentos y herencias en Honduras desde España. Cómo gestionar asuntos familiares sin necesidad de viajar al país.","Resuelva divorcios, herencias y pensiones en Honduras desde España con representación legal. Conozca los trámites y poderes necesarios. ¡Consulte hoy!","","","","sin conflicto demostrado","Resuelve asuntos familiares en Honduras desde","Asuntos Familiares Honduras desde España","Divorcio, custodia, alimentos y herencias en Honduras desde España. Cómo gestionar asuntos familiares sin necesidad de viajar al país.","Resuelva divorcios, herencias y pensiones en Honduras desde España con representación legal. Conozca los trámites y poderes necesarios. ¡Consulte hoy!","true","LOW","KEEP","KEEP"
"audiencia-inicial-proceso-penal-honduras","derecho-penal","Audiencia inicial en Honduras: proceso y preparación","Audiencia inicial en Honduras: proceso y preparación","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","","","","sin conflicto demostrado","Audiencia inicial en Honduras: proceso y preparación","Audiencia inicial en Honduras: proceso y preparación","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","Explicación general de la audiencia inicial, la importancia de la defensa técnica y la documentación que conviene organizar con antelación.","true","LOW","KEEP","KEEP"
"banco-demanda-deuda-defensa-opciones-honduras","derecho-bancario","Demanda Bancaria en Honduras: 6 Defensas y Opciones Legales Frente al Banco","Demanda Bancaria Honduras: Defensas","Guía práctica: qué hacer cuando recibe una demanda bancaria en Honduras, cómo verificar la legalidad de la deuda, opciones de defensa y negociación, y cuándo","¿Recibió una demanda bancaria en Honduras? Conozca sus derechos, las 6 defensas clave, cómo evitar embargos y las alternativas extrajudiciales. ¡Actúe","","","","sin conflicto demostrado","Demanda Bancaria en Honduras: 6 Defensas y Opciones Legales Frente al Banco","Demanda Bancaria Honduras: Defensas","Guía práctica: qué hacer cuando recibe una demanda bancaria en Honduras, cómo verificar la legalidad de la deuda, opciones de defensa y negociación, y cuándo","¿Recibió una demanda bancaria en Honduras? Conozca sus derechos, las 6 defensas clave, cómo evitar embargos y las alternativas extrajudiciales. ¡Actúe","true","LOW","KEEP","KEEP"
"calcular-liquidacion-laboral-honduras","derecho-laboral","Liquidación Laboral en Honduras","Liquidación Laboral Honduras: Cálculo y Derechos","Indemnización, preaviso, vacaciones y aguinaldo: cómo calcular cada concepto con ejemplos numéricos. Errores frecuentes que pueden costarle dinero al","Guía completa sobre cómo calcular tu liquidación laboral en Honduras. Conoce tus derechos sobre cesantía, vacaciones y despido injustificado.","","","","sin conflicto demostrado","Liquidación Laboral en Honduras","Liquidación Laboral Honduras: Cálculo y Derechos","Indemnización, preaviso, vacaciones y aguinaldo: cómo calcular cada concepto con ejemplos numéricos. Errores frecuentes que pueden costarle dinero al","Guía completa sobre cómo calcular tu liquidación laboral en Honduras. Conoce tus derechos sobre cesantía, vacaciones y despido injustificado.","true","LOW","KEEP","KEEP"
"central-riesgos-honduras-consultar-impugnar","derecho-bancario","Central de Riesgos en Honduras","Central de Riesgos Honduras: cómo consultar e impugnar","Qué es la Central de Riesgos, cómo obtener su reporte gratis, proceso de impugnación paso a paso y cómo mantener un historial crediticio limpio. Incluye plazos","Consulte su historial en la Central de Riesgos de Honduras, detecte errores y conozca el proceso para impugnar información incorrecta.","","","","sin conflicto demostrado","Central de Riesgos en Honduras","Central de Riesgos Honduras: cómo consultar e impugnar","Qué es la Central de Riesgos, cómo obtener su reporte gratis, proceso de impugnación paso a paso y cómo mantener un historial crediticio limpio. Incluye plazos","Consulte su historial en la Central de Riesgos de Honduras, detecte errores y conozca el proceso para impugnar información incorrecta.","true","LOW","KEEP","KEEP"
"centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","Conciliación y arbitraje en el CCIC de Honduras","Arbitraje Comercial en la CCIC","Conciliación y arbitraje en el CCIC: tipos de conflictos, procedimiento, designación de árbitros, costos estimados y ventajas frente al litigio judicial.","Conozca cómo resolver disputas corporativas rápidamente a través del Centro de Conciliación y Arbitraje de la CCIC en San Pedro Sula. Ley aplicable y","","","","sin conflicto demostrado","Conciliación y arbitraje en el CCIC de Honduras","Arbitraje Comercial en la CCIC","Conciliación y arbitraje en el CCIC: tipos de conflictos, procedimiento, designación de árbitros, costos estimados y ventajas frente al litigio judicial.","Conozca cómo resolver disputas corporativas rápidamente a través del Centro de Conciliación y Arbitraje de la CCIC en San Pedro Sula. Ley aplicable y","true","LOW","KEEP","KEEP"
"clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","Cláusulas abusivas en Honduras","Cláusulas Abusivas Honduras: Anulación y Defensa","Cómo detectar y anular cláusulas abusivas en contratos hondureños: ejemplos reales, marco legal del Código Civil y pasos para reclamar su nulidad.","Detecte y anule cláusulas abusivas en contratos en Honduras. Conozca sus derechos y los pasos legales para defenderse. ¡Consulte a nuestros abogados!","","","","sin conflicto demostrado","Cláusulas abusivas en Honduras","Cláusulas Abusivas Honduras: Anulación y Defensa","Cómo detectar y anular cláusulas abusivas en contratos hondureños: ejemplos reales, marco legal del Código Civil y pasos para reclamar su nulidad.","Detecte y anule cláusulas abusivas en contratos en Honduras. Conozca sus derechos y los pasos legales para defenderse. ¡Consulte a nuestros abogados!","true","LOW","KEEP","KEEP"
"cobro-deudas-choluteca","derecho-civil","Cobro Judicial de Deudas en Choluteca","Cobro Judicial de Deudas en Choluteca","Cobro de deudas en Choluteca: juicio ejecutivo, embargo de bienes, requerimiento notarial. Recuperamos su dinero con honorarios de éxito. Abogados en zona sur.","Recupere sus deudas judicialmente en Choluteca. Conozca el proceso, plazos y base legal en Honduras. Abogados expertos cobran solo si usted cobra.","","","","sin conflicto demostrado","Cobro Judicial de Deudas en Choluteca","Cobro Judicial de Deudas en Choluteca","Cobro de deudas en Choluteca: juicio ejecutivo, embargo de bienes, requerimiento notarial. Recuperamos su dinero con honorarios de éxito. Abogados en zona sur.","Recupere sus deudas judicialmente en Choluteca. Conozca el proceso, plazos y base legal en Honduras. Abogados expertos cobran solo si usted cobra.","true","LOW","KEEP","KEEP"
"codigo-aduanero-centroamericano","derecho-aduanero","CAUCA en Honduras: Código Aduanero","CAUCA y RECAUCA en Honduras: Ley Aduanera y","Estructura del CAC, obligaciones del importador, sanciones por incumplimiento y papel del agente aduanero en las operaciones de comercio exterior en Honduras.","Conozca la aplicación del CAUCA en Honduras por la Administración Aduanera. Guía de importación, DUA, aranceles e infracciones tributarias aduaneras.","","","","sin conflicto demostrado","CAUCA en Honduras: Código Aduanero","CAUCA y RECAUCA en Honduras: Ley Aduanera y","Estructura del CAC, obligaciones del importador, sanciones por incumplimiento y papel del agente aduanero en las operaciones de comercio exterior en Honduras.","Conozca la aplicación del CAUCA en Honduras por la Administración Aduanera. Guía de importación, DUA, aranceles e infracciones tributarias aduaneras.","true","LOW","KEEP","KEEP"
"como-elegir-abogado-honduras","practica-legal","Cómo Elegir un Buen Abogado en Honduras","Elegir Abogado en Honduras: 6 Criterios Clave","Experiencia específica, presencia local, transparencia en honorarios y disponibilidad real. Guía concreta para elegir representación legal sin depender de","Descubra 6 criterios esenciales para elegir un abogado en Honduras. Asegure una defensa eficaz con nuestra guía experta. ¡Consulte hoy!","","","","sin conflicto demostrado","Cómo Elegir un Buen Abogado en Honduras","Elegir Abogado en Honduras: 6 Criterios Clave","Experiencia específica, presencia local, transparencia en honorarios y disponibilidad real. Guía concreta para elegir representación legal sin depender de","Descubra 6 criterios esenciales para elegir un abogado en Honduras. Asegure una defensa eficaz con nuestra guía experta. ¡Consulte hoy!","true","LOW","KEEP","KEEP"
"como-obtener-rtn-personas-empresas-honduras","practica-legal","RTN en Honduras: Guía para Obtenerlo y Requisitos","RTN en Honduras: requisitos y cómo obtenerlo","Requisitos para persona natural y para empresa, proceso en el SAR, obligaciones que nacen con el RTN (facturación, ISR, ISV) y cuándo debe actualizarlo.","Requisitos y pasos para obtener el RTN de una persona natural o jurídica ante el SAR de Honduras, con documentos y obligaciones principales.","","","","sin conflicto demostrado","RTN en Honduras: Guía para Obtenerlo y Requisitos","RTN en Honduras: requisitos y cómo obtenerlo","Requisitos para persona natural y para empresa, proceso en el SAR, obligaciones que nacen con el RTN (facturación, ISR, ISV) y cuándo debe actualizarlo.","Requisitos y pasos para obtener el RTN de una persona natural o jurídica ante el SAR de Honduras, con documentos y obligaciones principales.","true","LOW","KEEP","KEEP"
"como-preparar-demanda-guia-no-abogados-honduras","practica-legal","Cómo redactar una demanda en Honduras (sin","Redactar Demanda en Honduras sin Abogado","Estructura de una demanda: juzgado, hechos (no conclusiones), pruebas, petitorio. Errores que la arruinan y cuándo sí necesita abogado obligatoriamente.","Aprenda a redactar una demanda en Honduras sin abogado. Conozca los requisitos, errores comunes y cuándo es obligatorio un profesional del derecho.","","","","sin conflicto demostrado","Cómo redactar una demanda en Honduras (sin","Redactar Demanda en Honduras sin Abogado","Estructura de una demanda: juzgado, hechos (no conclusiones), pruebas, petitorio. Errores que la arruinan y cuándo sí necesita abogado obligatoriamente.","Aprenda a redactar una demanda en Honduras sin abogado. Conozca los requisitos, errores comunes y cuándo es obligatorio un profesional del derecho.","true","LOW","KEEP","KEEP"
"competencia-desleal-como-denunciar-honduras","derecho-mercantil","Competencia Desleal en Honduras","Competencia Desleal Honduras: Denuncia y Leyes","Confusión, denigración, engaño, aprovechamiento de la reputación ajena y violación de secretos. Vías: Instituto de la Propiedad, demanda judicial y denuncia","Descubra qué es la competencia desleal en Honduras, las conductas sancionables y las vías legales para denunciar.","","","","sin conflicto demostrado","Competencia Desleal en Honduras","Competencia Desleal Honduras: Denuncia y Leyes","Confusión, denigración, engaño, aprovechamiento de la reputación ajena y violación de secretos. Vías: Instituto de la Propiedad, demanda judicial y denuncia","Descubra qué es la competencia desleal en Honduras, las conductas sancionables y las vías legales para denunciar.","true","LOW","KEEP","KEEP"
"compraventa-inmuebles-aspectos-legales-honduras","derecho-civil","Compraventa de Inmuebles en Honduras","Compraventa de Inmuebles en Honduras","Guía completa sobre la compraventa de inmuebles en Honduras: verificación registral, escritura pública, impuestos, inscripción y errores que pueden costarle la","Guía completa sobre la compraventa de inmuebles en Honduras. Conozca el marco legal, pasos, impuestos y errores comunes.","","","","sin conflicto demostrado","Compraventa de Inmuebles en Honduras","Compraventa de Inmuebles en Honduras","Guía completa sobre la compraventa de inmuebles en Honduras: verificación registral, escritura pública, impuestos, inscripción y errores que pueden costarle la","Guía completa sobre la compraventa de inmuebles en Honduras. Conozca el marco legal, pasos, impuestos y errores comunes.","true","LOW","KEEP","KEEP"
"constituir-empresa-guia-paso-a-paso-honduras","practica-legal","Constituir una empresa en Honduras","Constituir Empresa en Honduras","Guía paso a paso para constituir una sociedad mercantil en Honduras: tipos de empresa, escritura, Registro Mercantil, RTN, permisos y costos orientativos.","Guía completa para constituir tu empresa en Honduras. Conoce los pasos, requisitos, costos y el marco legal con asesoría experta. ¡Inicia tu negocio hoy!","","","","sin conflicto demostrado","Constituir una empresa en Honduras","Constituir Empresa en Honduras","Guía paso a paso para constituir una sociedad mercantil en Honduras: tipos de empresa, escritura, Registro Mercantil, RTN, permisos y costos orientativos.","Guía completa para constituir tu empresa en Honduras. Conoce los pasos, requisitos, costos y el marco legal con asesoría experta. ¡Inicia tu negocio hoy!","true","LOW","KEEP","KEEP"
"contratacion-publica-licitaciones","derecho-administrativo","Contratación Pública en Honduras","Contratación Pública Honduras: Guía Empresas y","Procedimientos de contratación pública en Honduras: licitación pública, privada y directa. Requisitos para participar, impugnación de adjudicaciones y marco","Descubra el proceso de Contratación Pública en Honduras. Requisitos, modalidades y garantías para empresas proveedoras del Estado.","","","","sin conflicto demostrado","Contratación Pública en Honduras","Contratación Pública Honduras: Guía Empresas y","Procedimientos de contratación pública en Honduras: licitación pública, privada y directa. Requisitos para participar, impugnación de adjudicaciones y marco","Descubra el proceso de Contratación Pública en Honduras. Requisitos, modalidades y garantías para empresas proveedoras del Estado.","true","LOW","KEEP","KEEP"
"contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","Contratos de Arrendamiento en Honduras","Arrendamiento en Honduras: derechos y obligaciones","Guía legal sobre arrendamiento en Honduras: cláusulas esenciales, depósito, reparaciones, desahucio por falta de pago, plazo mínimo y cómo protegerse frente a","Conozca los derechos y obligaciones de inquilinos y propietarios en Honduras: contrato, depósito, reparaciones, mora y desalojo.","","","","sin conflicto demostrado","Contratos de Arrendamiento en Honduras","Arrendamiento en Honduras: derechos y obligaciones","Guía legal sobre arrendamiento en Honduras: cláusulas esenciales, depósito, reparaciones, desahucio por falta de pago, plazo mínimo y cómo protegerse frente a","Conozca los derechos y obligaciones de inquilinos y propietarios en Honduras: contrato, depósito, reparaciones, mora y desalojo.","true","LOW","KEEP","KEEP"
"contratos-confidencialidad-nda-secreto-comercial-honduras","propiedad-intelectual","Contratos de confidencialidad (NDA)","Acuerdo de Confidencialidad Honduras","Cláusulas esenciales: definición de información confidencial, exclusiones, plazo de vigencia, penal por incumplimiento. Errores que invalidan un NDA y cuándo","Proteja sus secretos comerciales con un Acuerdo de Confidencialidad (NDA) en Honduras. Conozca cláusulas esenciales, marco legal y errores comunes.","","","","sin conflicto demostrado","Contratos de confidencialidad (NDA)","Acuerdo de Confidencialidad Honduras","Cláusulas esenciales: definición de información confidencial, exclusiones, plazo de vigencia, penal por incumplimiento. Errores que invalidan un NDA y cuándo","Proteja sus secretos comerciales con un Acuerdo de Confidencialidad (NDA) en Honduras. Conozca cláusulas esenciales, marco legal y errores comunes.","true","LOW","KEEP","KEEP"
"contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","Contratos para Empleadas Domésticas en Honduras","Contrato Empleada Doméstica Honduras","Todo lo que debe saber sobre el contrato de trabajo doméstico en Honduras: salario mínimo, jornada, IHSS, prestaciones, aguinaldo y cesantía.","Conoce cómo regular el contrato de empleadas domésticas en Honduras. Evita reclamos con documentación legal, liquidaciones exactas y afiliación al IHSS.","","","","sin conflicto demostrado","Contratos para Empleadas Domésticas en Honduras","Contrato Empleada Doméstica Honduras","Todo lo que debe saber sobre el contrato de trabajo doméstico en Honduras: salario mínimo, jornada, IHSS, prestaciones, aguinaldo y cesantía.","Conoce cómo regular el contrato de empleadas domésticas en Honduras. Evita reclamos con documentación legal, liquidaciones exactas y afiliación al IHSS.","true","LOW","KEEP","KEEP"
"contratos-franquicia-aspectos","derecho-mercantil","Contrato de franquicia en Honduras: cláusulas y riesgos","Contrato de franquicia en Honduras: cláusulas y riesgos","Cláusulas que conviene revisar en un contrato de franquicia en Honduras: territorio, regalías, uso de marca, terminación y solución de conflictos.","Cláusulas que conviene revisar en un contrato de franquicia en Honduras: territorio, regalías, uso de marca, terminación y solución de conflictos.","","","","sin conflicto demostrado","Contrato de franquicia en Honduras: cláusulas y riesgos","Contrato de franquicia en Honduras: cláusulas y riesgos","Cláusulas que conviene revisar en un contrato de franquicia en Honduras: territorio, regalías, uso de marca, terminación y solución de conflictos.","Cláusulas que conviene revisar en un contrato de franquicia en Honduras: territorio, regalías, uso de marca, terminación y solución de conflictos.","true","LOW","KEEP","KEEP"
"contratos-mercantiles-esenciales-empresas-honduras","derecho-mercantil","Contratos Mercantiles en Honduras: 5 Esenciales","Contratos Mercantiles en Honduras: Guía Esencial","De la constitución de sociedad al contrato de distribución: guía práctica de los contratos mercantiles esenciales para empresas en Honduras. Qué cláusulas","Conozca los 5 contratos mercantiles esenciales en Honduras: compraventa, distribución, agencia, franquicia y suministro. Proteja su empresa con","","","","sin conflicto demostrado","Contratos Mercantiles en Honduras: 5 Esenciales","Contratos Mercantiles en Honduras: Guía Esencial","De la constitución de sociedad al contrato de distribución: guía práctica de los contratos mercantiles esenciales para empresas en Honduras. Qué cláusulas","Conozca los 5 contratos mercantiles esenciales en Honduras: compraventa, distribución, agencia, franquicia y suministro. Proteja su empresa con","true","LOW","KEEP","KEEP"
