"source_id","article_slug","claim_id","claim","institution","document_title","document_number","exact_url","article_or_section","quoted_concept","interpretation","verification_status","verified_at","human_review_question"
"HN-CT-189-59","calcular-prestaciones-laborales-honduras","calcular-prestaciones-laborales-honduras-C1","La solución jurídica de calcular prestaciones laborales honduras depende de salario base, antigüedad, vacaciones, décimo tercero y décimo cuarto y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de calcular prestaciones laborales honduras depende de salario base, antigüedad, vacaciones, décimo tercero y décimo cuarto y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula salario base, antigüedad, vacaciones, décimo tercero y décimo cuarto en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","calcular-liquidacion-laboral-honduras","calcular-liquidacion-laboral-honduras-C1","La solución jurídica de liquidación laboral honduras depende de forma de terminación, conceptos devengados y deducciones comprobables y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de liquidación laboral honduras depende de forma de terminación, conceptos devengados y deducciones comprobables y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula forma de terminación, conceptos devengados y deducciones comprobables en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","empleador-no-paga-salario-honduras","empleador-no-paga-salario-honduras-C1","La solución jurídica de empleador no paga salario honduras depende de prueba del salario, requerimiento, inspección y reclamación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de empleador no paga salario honduras depende de prueba del salario, requerimiento, inspección y reclamación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula prueba del salario, requerimiento, inspección y reclamación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","jornada-laboral-horas-extra-descansos-honduras","jornada-laboral-horas-extra-descansos-honduras-C1","La solución jurídica de jornada laboral horas extra honduras depende de jornada ordinaria, trabajo extraordinario, recargos y descansos y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de jornada laboral horas extra honduras depende de jornada ordinaria, trabajo extraordinario, recargos y descansos y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula jornada ordinaria, trabajo extraordinario, recargos y descansos en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","derechos-trabajadora-embarazada-honduras","derechos-trabajadora-embarazada-honduras-C1","La solución jurídica de derechos trabajadora embarazada honduras depende de estabilidad reforzada, licencia, comunicación y autorización y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de derechos trabajadora embarazada honduras depende de estabilidad reforzada, licencia, comunicación y autorización y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula estabilidad reforzada, licencia, comunicación y autorización en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CT-189-59","acoso-laboral-mobbing-honduras","acoso-laboral-mobbing-honduras-C1","La solución jurídica de acoso laboral honduras depende de conductas reiteradas, prueba, prevención y vías de reclamación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código del Trabajo","Decreto 189-59","https://www.tsc.gob.hn/web/leyes/codigo_de_trabajo.pdf","disposición específica pendiente de validación humana en el Código del Trabajo","La solución jurídica de acoso laboral honduras depende de conductas reiteradas, prueba, prevención y vías de reclamación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula conductas reiteradas, prueba, prevención y vías de reclamación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","custodia-hijos-honduras-juez","custodia-hijos-honduras-juez-C1","La solución jurídica de custodia de hijos honduras depende de interés superior, cuidado cotidiano, entorno y régimen de comunicación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de custodia de hijos honduras depende de interés superior, cuidado cotidiano, entorno y régimen de comunicación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula interés superior, cuidado cotidiano, entorno y régimen de comunicación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","pension-alimenticia-honduras-guia-completa","pension-alimenticia-honduras-guia-completa-C1","La solución jurídica de pensión alimenticia honduras requisitos depende de necesidades, capacidad económica, legitimación y ejecución y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de pensión alimenticia honduras requisitos depende de necesidades, capacidad económica, legitimación y ejecución y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula necesidades, capacidad económica, legitimación y ejecución en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","pension-alimenticia-porcentaje-honduras-2026","pension-alimenticia-porcentaje-honduras-2026-C1","La solución jurídica de porcentaje pensión alimenticia honduras depende de ausencia de porcentaje universal, necesidades y capacidad acreditada y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de porcentaje pensión alimenticia honduras depende de ausencia de porcentaje universal, necesidades y capacidad acreditada y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula ausencia de porcentaje universal, necesidades y capacidad acreditada en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","divorcio-honduras-guia-completa","divorcio-honduras-guia-completa-C1","La solución jurídica de divorcio en honduras requisitos depende de causal o acuerdo, efectos familiares, documentos y resolución y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de divorcio en honduras requisitos depende de causal o acuerdo, efectos familiares, documentos y resolución y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula causal o acuerdo, efectos familiares, documentos y resolución en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","union-de-hecho-requisitos-derechos-honduras","union-de-hecho-requisitos-derechos-honduras-C1","La solución jurídica de unión de hecho honduras requisitos depende de reconocimiento, convivencia, efectos patrimoniales y prueba y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de unión de hecho honduras requisitos depende de reconocimiento, convivencia, efectos patrimoniales y prueba y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula reconocimiento, convivencia, efectos patrimoniales y prueba en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","violencia-intrafamiliar-denuncia-proteccion-honduras","violencia-intrafamiliar-denuncia-proteccion-honduras-C1","La solución jurídica de denuncia violencia intrafamiliar honduras depende de protección urgente, denuncia, evidencia y seguridad personal y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de denuncia violencia intrafamiliar honduras depende de protección urgente, denuncia, evidencia y seguridad personal y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula protección urgente, denuncia, evidencia y seguridad personal en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","pension-alimenticia-honduras-como-solicitarla","pension-alimenticia-honduras-como-solicitarla-C1","La solución jurídica de cómo solicitar pensión alimenticia honduras depende de solicitud, documentos, medida provisional y cumplimiento y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de cómo solicitar pensión alimenticia honduras depende de solicitud, documentos, medida provisional y cumplimiento y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula solicitud, documentos, medida provisional y cumplimiento en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CF-76-84","guarda-custodia-menores-tipos-honduras","guarda-custodia-menores-tipos-honduras-C1","La solución jurídica de guarda y custodia de menores honduras depende de modalidades de cuidado, decisión judicial y revisión y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Familia","Decreto 76-84","https://www.tsc.gob.hn/web/leyes/codigo_de_familia.pdf","disposición específica pendiente de validación humana en el Código de Familia","La solución jurídica de guarda y custodia de menores honduras depende de modalidades de cuidado, decisión judicial y revisión y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula modalidades de cuidado, decisión judicial y revisión en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","contratos-arrendamiento-derechos-obligaciones-honduras","contratos-arrendamiento-derechos-obligaciones-honduras-C1","La solución jurídica de contrato de arrendamiento honduras depende de renta, depósito, conservación, incumplimiento y restitución y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de contrato de arrendamiento honduras depende de renta, depósito, conservación, incumplimiento y restitución y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula renta, depósito, conservación, incumplimiento y restitución en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","danos-perjuicios-indemnizacion-honduras","danos-perjuicios-indemnizacion-honduras-C1","La solución jurídica de daños y perjuicios honduras depende de daño, imputación, causalidad, cuantificación y prueba y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de daños y perjuicios honduras depende de daño, imputación, causalidad, cuantificación y prueba y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula daño, imputación, causalidad, cuantificación y prueba en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","testamentos-sucesiones-herencia-honduras","testamentos-sucesiones-herencia-honduras-C1","La solución jurídica de testamento y sucesión honduras depende de capacidad, forma testamentaria, herederos y ejecución y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de testamento y sucesión honduras depende de capacidad, forma testamentaria, herederos y ejecución y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula capacidad, forma testamentaria, herederos y ejecución en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","herencias-honduras-fallece-familiar","herencias-honduras-fallece-familiar-C1","La solución jurídica de trámite de herencia honduras depende de certificados, inventario, testamento, declaratoria y partición y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de trámite de herencia honduras depende de certificados, inventario, testamento, declaratoria y partición y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula certificados, inventario, testamento, declaratoria y partición en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","poder-legal-honduras-cuando-se-necesita","poder-legal-honduras-cuando-se-necesita-C1","La solución jurídica de poder notarial honduras depende de facultades, forma, límites, vigencia y revocación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de poder notarial honduras depende de facultades, forma, límites, vigencia y revocación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula facultades, forma, límites, vigencia y revocación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","compraventa-inmuebles-aspectos-legales-honduras","compraventa-inmuebles-aspectos-legales-honduras-C1","La solución jurídica de compraventa de inmueble honduras depende de titularidad, gravámenes, escritura, impuestos e inscripción y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de compraventa de inmueble honduras depende de titularidad, gravámenes, escritura, impuestos e inscripción y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula titularidad, gravámenes, escritura, impuestos e inscripción en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","prescripcion-deudas-plazos-honduras","prescripcion-deudas-plazos-honduras-C1","La solución jurídica de prescripción de deudas honduras depende de naturaleza de la obligación, exigibilidad, interrupción y prueba y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de prescripción de deudas honduras depende de naturaleza de la obligación, exigibilidad, interrupción y prueba y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula naturaleza de la obligación, exigibilidad, interrupción y prueba en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CPC-211-2006","reclamar-deuda-legalmente-honduras","reclamar-deuda-legalmente-honduras-C1","La solución jurídica de cómo cobrar una deuda en honduras depende de documento, vencimiento, requerimiento, proceso y ejecución y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código Procesal Civil","Decreto 211-2006","https://www.tsc.gob.hn/web/leyes/Codigo_Procesal%20Civil_.pdf","disposición específica pendiente de validación humana en el Código Procesal Civil","La solución jurídica de cómo cobrar una deuda en honduras depende de documento, vencimiento, requerimiento, proceso y ejecución y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula documento, vencimiento, requerimiento, proceso y ejecución en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CCOM-73-50","contratos-franquicia-aspectos","contratos-franquicia-aspectos-C1","La solución jurídica de contrato de franquicia honduras depende de marca, territorio, regalías, asistencia, terminación y competencia y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Comercio","Decreto 73-50","https://www.tsc.gob.hn/biblioteca/index.php/codigos","disposición específica pendiente de validación humana en el Código de Comercio","La solución jurídica de contrato de franquicia honduras depende de marca, territorio, regalías, asistencia, terminación y competencia y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula marca, territorio, regalías, asistencia, terminación y competencia en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CCOM-73-50","contratos-mercantiles-esenciales-empresas-honduras","contratos-mercantiles-esenciales-empresas-honduras-C1","La solución jurídica de contratos mercantiles para empresas honduras depende de objeto, representación, pagos, garantías y solución de controversias y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Comercio","Decreto 73-50","https://www.tsc.gob.hn/biblioteca/index.php/codigos","disposición específica pendiente de validación humana en el Código de Comercio","La solución jurídica de contratos mercantiles para empresas honduras depende de objeto, representación, pagos, garantías y solución de controversias y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula objeto, representación, pagos, garantías y solución de controversias en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CCOM-73-50","competencia-desleal-como-denunciar-honduras","competencia-desleal-como-denunciar-honduras-C1","La solución jurídica de competencia desleal honduras depende de conducta, mercado afectado, evidencia, cese y reparación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Comercio","Decreto 73-50","https://www.tsc.gob.hn/biblioteca/index.php/codigos","disposición específica pendiente de validación humana en el Código de Comercio","La solución jurídica de competencia desleal honduras depende de conducta, mercado afectado, evidencia, cese y reparación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula conducta, mercado afectado, evidencia, cese y reparación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CCOM-73-50","incumplimiento-contrato-comercial-honduras","incumplimiento-contrato-comercial-honduras-C1","La solución jurídica de incumplimiento contrato comercial honduras depende de obligación, mora, excepciones, daños y terminación y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Comercio","Decreto 73-50","https://www.tsc.gob.hn/biblioteca/index.php/codigos","disposición específica pendiente de validación humana en el Código de Comercio","La solución jurídica de incumplimiento contrato comercial honduras depende de obligación, mora, excepciones, daños y terminación y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula obligación, mora, excepciones, daños y terminación en el supuesto descrito y qué excepción práctica debe incorporarse?"
"HN-CCOM-73-50","constitucion-empresas-honduras-pasos-legales","constitucion-empresas-honduras-pasos-legales-C1","La solución jurídica de crear empresa en honduras pasos depende de socios, capital, escritura, registro y obligaciones iniciales y de la disposición vigente aplicable al caso.","Congreso Nacional / TSC","Código de Comercio","Decreto 73-50","https://www.tsc.gob.hn/biblioteca/index.php/codigos","disposición específica pendiente de validación humana en el Código de Comercio","La solución jurídica de crear empresa en honduras pasos depende de socios, capital, escritura, registro y obligaciones iniciales y de la disposición vigente aplicable al caso.","Propuesta conservadora pendiente de firma jurídica","HUMAN_REVIEW_REQUIRED","2026-07-28","¿Confirma qué disposición vigente regula socios, capital, escritura, registro y obligaciones iniciales en el supuesto descrito y qué excepción práctica debe incorporarse?"
